Eb/No(dB) SC_BER SCL_BER BER_Gain SC_FER SCL_FER FER_Gain
0.00 4.749814e-01 3.948828e-01 1.2028 1.000000e+00 9.400000e-01 1.0638
0.25 4.231632e-01 3.072115e-01 1.3774 9.787234e-01 8.615385e-01 1.1360
0.50 3.709095e-01 2.024075e-01 1.8325 9.622642e-01 7.040816e-01 1.3667
0.75 2.864866e-01 1.323770e-01 2.1642 7.971014e-01 5.337838e-01 1.4933
1.00 2.258523e-01 6.923587e-02 3.2621 7.386364e-01 3.074205e-01 2.4027
1.25 1.580636e-01 2.466337e-02 6.4088 5.000000e-01 1.369863e-01 3.6500
1.50 8.494410e-02 7.302008e-03 11.6330 3.534483e-01 5.592841e-02 6.3197
1.75 4.657809e-02 2.200428e-03 21.1677 1.971496e-01 2.343134e-02 8.4139
2.00 1.847162e-02 6.159089e-04 29.9908 8.884688e-02 9.382281e-03 9.4696
2.25 6.527942e-03 3.073480e-04 21.2396 3.090728e-02 4.430966e-03 6.9753
2.50 2.051313e-03 9.485812e-05 21.6251 1.225388e-02 1.579978e-03 7.7557
2.75 6.817688e-04 2.783599e-05 24.4923 3.662126e-03 4.602025e-04 7.9576
3.00 1.883023e-04 9.332811e-06 20.1764 1.129403e-03 1.684417e-04 6.7050
