Eb/No(dB) Base_BER ScenA_BER A_over_Base ScenB_BER B_over_Base
0.00 4.812309e-01 4.744234e-01 0.9859 4.881860e-01 1.0145
0.25 4.899414e-01 4.457120e-01 0.9097 4.711217e-01 0.9616
0.50 4.604833e-01 3.899357e-01 0.8468 4.754929e-01 1.0326
0.75 3.976953e-01 3.627025e-01 0.9120 4.440972e-01 1.1167
1.00 3.849188e-01 2.680865e-01 0.6965 3.900888e-01 1.0134
1.25 3.115540e-01 1.916148e-01 0.6150 3.334878e-01 1.0704
1.50 2.241877e-01 1.156135e-01 0.5157 3.092346e-01 1.3794
1.75 1.638224e-01 5.820429e-02 0.3553 2.210323e-01 1.3492
2.00 9.342448e-02 2.703607e-02 0.2894 2.563413e-01 2.7438
2.25 4.954056e-02 1.211299e-02 0.2445 2.010324e-01 4.0579
2.50 2.153170e-02 3.817609e-03 0.1773 2.190290e-01 10.1724
2.75 9.073299e-03 1.109446e-03 0.1223 1.406948e-01 15.5065
3.00 2.691804e-03 2.796872e-04 0.1039 1.305124e-01 48.4851
