Eb/No(dB) Base_BER ScenA_BER A_over_Base ScenB_BER B_over_Base
0.00 4.807546e-01 4.724237e-01 0.9827 4.849943e-01 1.0088
0.25 4.804688e-01 4.461559e-01 0.9286 4.581668e-01 0.9536
0.50 4.526811e-01 4.005899e-01 0.8849 4.581214e-01 1.0120
0.75 4.555323e-01 3.320312e-01 0.7289 4.491744e-01 0.9860
1.00 3.572798e-01 2.832310e-01 0.7927 4.178856e-01 1.1696
1.25 3.359044e-01 1.591876e-01 0.4739 3.689959e-01 1.0985
1.50 2.367282e-01 1.150099e-01 0.4858 2.609896e-01 1.1025
1.75 1.624936e-01 4.457642e-02 0.2743 2.567218e-01 1.5799
2.00 1.051604e-01 2.274790e-02 0.2163 2.310202e-01 2.1968
2.25 5.302449e-02 8.775554e-03 0.1655 1.897693e-01 3.5789
2.50 3.407970e-02 2.664997e-03 0.0782 2.056332e-01 6.0339
2.75 1.009831e-02 9.368968e-04 0.0928 1.839012e-01 18.2111
3.00 3.286589e-03 2.335696e-04 0.0711 1.505099e-01 45.7952
