Error(dB) MinSum_BER MinSum_BER_ratio MinSum_FER MinSum_FER_ratio SPA_BER SPA_BER_ratio SPA_FER SPA_FER_ratio
-3.00 1.507036e-04 0.5042 1.310414e-03 0.6785 7.255498e-02 28.1876 1.481481e-01 23.0222
-2.75 2.051489e-04 0.6864 8.818342e-04 0.4566 4.982462e-02 19.3569 1.020408e-01 15.8571
-2.50 1.835895e-04 0.6143 1.441961e-03 0.7466 3.793174e-02 14.7365 8.771930e-02 13.6316
-2.25 2.460534e-04 0.8233 1.492352e-03 0.7727 2.917480e-02 11.3344 6.250000e-02 9.7125
-2.00 1.173949e-04 0.3928 6.849706e-04 0.3547 4.098195e-02 15.9215 8.620690e-02 13.3966
-1.75 1.234910e-04 0.4132 7.527068e-04 0.3897 1.693831e-02 6.5805 3.448276e-02 5.3586
-1.50 1.477387e-04 0.4943 1.138547e-03 0.5895 3.787782e-02 14.7155 8.196721e-02 12.7377
-1.25 2.244233e-04 0.7509 1.247731e-03 0.6460 2.370084e-02 9.2078 5.617978e-02 8.7303
-1.00 1.852708e-04 0.6199 1.328021e-03 0.6876 6.912415e-03 2.6855 1.506024e-02 2.3404
-0.75 2.644473e-04 0.8848 1.258336e-03 0.6515 5.342517e-03 2.0756 1.272265e-02 1.9771
-0.50 2.686922e-04 0.8990 1.474926e-03 0.7637 6.578032e-03 2.5556 1.780415e-02 2.7668
-0.25 1.506400e-04 0.5040 8.865248e-04 0.4590 6.369708e-03 2.4746 1.290323e-02 2.0052
0.00 2.988737e-04 1.0000 1.931362e-03 1.0000 2.574003e-03 1.0000 6.435006e-03 1.0000
0.25 2.178844e-04 0.7290 1.409367e-03 0.7297 1.293959e-03 0.5027 4.537720e-03 0.7052
0.50 1.285248e-04 0.4300 1.350830e-03 0.6994 1.044979e-03 0.4060 2.677376e-03 0.4161
0.75 1.765109e-04 0.5906 1.085103e-03 0.5618 1.332484e-03 0.5177 3.638569e-03 0.5654
1.00 2.071606e-04 0.6931 1.302568e-03 0.6744 1.117116e-03 0.4340 3.745318e-03 0.5820
1.25 1.565172e-04 0.5237 1.263753e-03 0.6543 1.128029e-03 0.4382 4.081633e-03 0.6343
1.50 1.570740e-04 0.5256 1.171904e-03 0.6068 4.825368e-04 0.1875 1.680672e-03 0.2612
1.75 1.889512e-04 0.6322 8.698173e-04 0.4504 1.278967e-03 0.4969 3.492433e-03 0.5427
2.00 1.673500e-04 0.5599 1.709003e-03 0.8849 8.887407e-04 0.3453 2.900953e-03 0.4508
2.25 1.334457e-04 0.4465 8.573501e-04 0.4439 3.043088e-04 0.1182 1.757212e-03 0.2731
2.50 2.111596e-04 0.7065 9.338037e-04 0.4835 4.589953e-04 0.1783 1.337793e-03 0.2079
2.75 1.088358e-04 0.3642 9.039188e-04 0.4680 1.966448e-04 0.0764 1.000455e-03 0.1555
3.00 1.744723e-04 0.5838 9.056479e-04 0.4689 2.479705e-04 0.0963 9.412257e-04 0.1463
