Design_SNR(dB) BER FER Ratio_to_matched
-2.00 4.006298e-01 1.000000e+00 130.2592
-1.50 3.968750e-01 9.800000e-01 129.0384
-1.00 3.338216e-01 8.833333e-01 108.5375
-0.50 1.564062e-01 7.600000e-01 50.8533
0.00 1.325241e-01 4.093960e-01 43.0884
0.50 3.353281e-03 9.919301e-03 1.0903
1.00 2.808896e-03 7.217662e-03 0.9133
1.50 3.314304e-03 8.404774e-03 1.0776
2.00 3.013485e-03 6.937114e-03 0.9798
2.50 2.697665e-03 6.238134e-03 0.8771
3.00 3.075635e-03 7.588663e-03 1.0000
3.50 3.644330e-03 8.195195e-03 1.1849
4.00 3.444590e-03 7.914175e-03 1.1200
4.50 3.298091e-03 8.815702e-03 1.0723
5.00 7.879741e-03 2.161729e-02 2.5620
