Eb/No(dB) Base_BER ScenA_BER A_over_Base ScenB_BER B_over_Base
0.00 4.847085e-01 4.848514e-01 1.0003 4.749814e-01 0.9799
0.25 4.654948e-01 4.570312e-01 0.9818 4.779440e-01 1.0267
0.50 4.384549e-01 4.183428e-01 0.9541 4.800877e-01 1.0950
0.75 4.137370e-01 4.531694e-01 1.0953 4.403646e-01 1.0644
1.00 4.141032e-01 3.785306e-01 0.9141 3.834252e-01 0.9259
1.25 2.913890e-01 3.095703e-01 1.0624 3.652705e-01 1.2535
1.50 2.084910e-01 2.251864e-01 1.0801 3.045072e-01 1.4605
1.75 1.982422e-01 1.777166e-01 0.8965 2.486650e-01 1.2543
2.00 9.238650e-02 9.925605e-02 1.0744 1.985874e-01 2.1495
2.25 5.491118e-02 6.608288e-02 1.2035 2.128269e-01 3.8758
2.50 2.595086e-02 4.541351e-02 1.7500 1.616806e-01 6.2303
2.75 8.412364e-03 1.629172e-02 1.9366 1.476592e-01 17.5526
3.00 2.588129e-03 5.864582e-03 2.2660 1.217810e-01 47.0537
